reinfect,time_value,cases,perc_reinfect
4,2021-04-03,626.93,0.638024691
4,2021-04-10,884.93,0.452011662
4,2021-04-17,755.93,0.529146757
4,2021-04-24,626.93,0.638024691
14,2021-05-01,884.93,1.582040816
6,2021-05-08,626.93,0.957037037
4,2021-05-15,755.93,0.529146757
6,2021-05-22,433.44,1.384285714
8,2021-05-29,433.44,1.845714286
8,2021-06-05,497.94,1.606632124
11,2021-06-12,497.94,2.209119171
6,2021-06-19,433.44,1.384285714
6,2021-06-26,368.94,1.626293704
8,2021-07-03,497.94,1.606632124
6,2021-07-10,691.43,0.867761194
6,2021-07-17,884.93,0.678017493
4,2021-07-24,1465.43,0.272957746
8,2021-07-31,2626.42,0.30459725
19,2021-08-07,3851.91,0.493261889
20,2021-08-14,4819.40,0.414989293
28,2021-08-21,5399.90,0.518528428
33,2021-08-28,6044.89,0.545915493
23,2021-09-04,5012.90,0.458816264
19,2021-09-11,4174.41,0.455154512
24,2021-09-18,3658.41,0.656022567
14,2021-09-25,2819.92,0.496468435
17,2021-10-02,2368.42,0.717777778
11,2021-10-09,1400.93,0.78519337
8,2021-10-16,949.43,0.842608695
19,2021-10-23,1078.43,1.761818182
8,2021-10-30,884.93,0.904023324
11,2021-11-06,1013.93,1.084885496
12,2021-11-13,755.93,1.587440272
17,2021-11-20,884.93,1.921049563
14,2021-11-27,691.43,2.024776119
19,2021-12-04,884.93,2.147055394
39,2021-12-11,1207.43,3.23
143,2021-12-18,4690.40,3.048778878
258,2021-12-25,10946.85,2.356841857
497,2022-01-01,19267.29,2.579501875
769,2022-01-08,30296.70,2.538230435
842,2022-01-15,31973.68,2.633415638
716,2022-01-22,24040.25,2.978338699
519,2022-01-29,14816.82,3.502775553
253,2022-02-05,7915.38,3.196310299
110,2022-02-12,4303.41,2.556115108
83,2022-02-19,2497.42,3.323429752
45,2022-02-26,1981.42,2.27109375
33,2022-03-05,1271.93,2.594482759
33,2022-03-12,1142.93,2.88731377
31,2022-03-19,949.43,3.265108694
23,2022-03-26,1078.43,2.132727273
31,2022-04-02,1207.43,2.567435897
45,2022-04-09,1400.93,3.212154696
45,2022-04-16,1981.42,2.27109375
89,2022-04-23,3142.41,2.832216749
131,2022-04-30,4303.41,3.044100719
193,2022-05-07,5980.39,3.227213115
264,2022-05-14,7463.88,3.537034221
362,2022-05-21,8818.37,4.105067291
437,2022-05-28,9269.87,4.714199834
405,2022-06-04,8302.37,4.878123058
391,2022-06-11,7592.88,5.14956167
348,2022-06-18,6431.89,5.410541516
337,2022-06-25,5399.90,6.240860011
368,2022-07-02,5141.90,7.156889112
306,2022-07-09,4496.90,6.804681583
335,2022-07-16,4625.90,7.241829336
337,2022-07-23,4561.40,7.388076923
306,2022-07-30,4174.41,7.330383189
280,2022-08-06,3658.41,7.653596615
245,2022-08-13,3335.91,7.344315545
205,2022-08-20,2884.42,7.107155635
155,2022-08-27,2110.42,7.344498778
141,2022-09-03,1852.43,7.611643454
129,2022-09-10,1529.93,8.431770658
124,2022-09-17,1336.43,9.278455598
118,2022-09-24,1271.93,9.277241379