time_value,cases,perc_reinfect,reinfect,
2020-08-08,4249.742648,0.01,0.424974265,
2020-08-15,3756.785346,0.094202061,3.538969223,
2020-08-22,3228.616808,0.169495282,5.472353163,
2020-08-29,2242.702204,0.139377994,3.125833343,
2020-09-05,1961.012317,0.259847149,5.095634597,
2020-09-12,1538.477486,0.335140371,5.156059154,
2020-09-19,1820.167373,0.199612571,3.63328289,
2020-09-26,2242.702204,0.37487846,8.407407485,
2020-10-03,2418.758383,0.259847149,6.285074699,
2020-10-10,2982.138157,0.489909771,14.60978622,
2020-10-17,3510.306695,0.406250636,14.26064327,
2020-10-24,3968.052761,0.3225915,12.80060092,
2020-10-31,4918.75613,0.31004263,15.25024087,
2020-11-07,7313.120168,0.272396019,19.9206482,
2020-11-14,9003.25949,0.435531333,39.21201607,
2020-11-21,10904.66623,0.347689241,37.91435125,
2020-11-28,10235.65275,0.284944889,29.16596937,
2020-12-05,13932.83251,0.259847149,36.20406805,
2020-12-12,13580.72015,0.397884722,54.03561061,
2020-12-19,12453.9606,0.347689241,43.30108108,
2020-12-26,10763.82128,0.335140371,36.07391057,
2021-01-02,13158.18532,0.335140371,44.0983911,
2021-01-09,13510.29768,0.385335852,52.06002067,
2021-01-16,9637.061736,0.31004263,29.87899966,
2021-01-23,7277.908933,0.422982463,30.78427846,
2021-01-30,5552.558375,0.623764388,34.63488177,
2021-02-06,4003.263997,0.658970941,26.38034643,
2021-02-13,2911.715685,0.719972394,20.96354912,
2021-02-20,2172.279732,1.966144933,42.71016788,
2021-02-27,1679.32243,1.844142027,30.9690907,
2021-03-06,1362.421307,2.044575372,27.85573051,
2021-03-13,1397.632543,2.41058409,33.69110772,
2021-03-20,1080.73142,2.253723211,24.35669486,
2021-03-27,1186.365128,1.879,22.29180076,
2021-04-03,1432.843779,1.312557937,18.80690475,
2021-04-10,1749.744902,1.120839085,19.61182475,
2021-04-17,1714.533666,1.652423175,28.33135164,
2021-04-24,1608.899958,2.192721758,35.27869944,
2021-05-01,1644.111194,2.33215365,38.34319922,
2021-05-08,1115.942656,1.495562296,16.68961761,
2021-05-15,834.2527691,2.654589902,22.14598977,
2021-05-22,834.2527691,2.271152197,18.94715009,
2021-05-29,763.8302974,1.870285507,14.28580735,
2021-06-05,904.6752409,1.024979659,9.272737199,
2021-06-12,1503.266251,2.096862332,31.52142377,
2021-06-19,2348.335911,1.521705775,35.73476317,
2021-06-26,3052.560629,1.155697058,35.27835338,
2021-07-03,4249.742648,1.042408645,44.29968475,
2021-07-10,5517.347139,1.460704322,80.59212812,
2021-07-17,5975.093206,1.242841991,74.26096737,
2021-07-24,6010.304441,1.37355939,82.55510102,
2021-07-31,5693.403319,1.739568107,99.04062834,
2021-08-07,5200.446016,1.382273883,71.88440708,
2021-08-14,5094.812309,1.652423175,84.18785932,
2021-08-21,4496.221299,2.166578278,97.41415399,
2021-08-28,3946.451125,1.486847802,58.67772181,
2021-09-04,3994.906213,1.556563749,62.18326192,
2021-09-11,3791.996582,1.32127243,50.10260538,
2021-09-18,3510.306695,1.303843443,45.76890367,
2021-09-25,3158.194336,1.32127243,41.72835105,
2021-10-02,3158.194336,1.591421722,50.26019069,
2021-10-09,2841.293213,1.286414457,36.55080666,
2021-10-16,2383.547147,1.443275336,34.40114809,**
2021-10-23,3052.560629,1.704710134,52.03731039,
2021-10-30,2700.44827,1.809284054,48.85877994,
2021-11-06,2911.715685,1.617565201,47.09889967,*
2021-11-13,2700.44827,1.225413004,33.09164427,
2021-11-20,3475.095459,1.948715946,67.71973935,
2021-11-27,3193.405572,1.643708681,52.49028461,
2021-12-04,3387.249827,1.751954509,59.34307608,
2021-12-11,3225.500345,2.055347548,66.29524225,
2021-12-18,3764.665286,4.039026417,152.0558254,
2021-12-25,7916.235335,11.39468607,902.030165,
2022-01-01,26679.17529,12.27651546,3275.273079,
2022-01-08,41020.96273,12.35948759,5069.980798,
2022-01-15,36222.39476,11.23030869,4067.886746,
2022-01-22,23929.43409,10.73477159,2568.770092,
2022-01-29,12984.38578,11.06563981,1436.805362,
2022-02-05,5651.742581,10.70780656,605.1776628,
2022-02-12,2955.917874,11.50702822,340.1383039,
2022-02-19,1608.005521,9.881984262,158.9028525,
2022-02-26,1014.924086,11.06680586,112.3196782,
2022-03-05,745.3416149,11.39774696,84.95215125,
2022-03-12,554,9.019284702,49.96683725,
2022-03-19,519,10.21192934,52.99991327,
2022-03-26,695,13.42845578,93.32776767,
2022-04-02,695,9.796310753,68.08435973,