time_value,reinfect,first_infect,cases,perc_reinfect
2021-01-11,516,117209,117725,0.43830962
2021-01-18,465,99102,99567,0.467022206
2021-01-25,460,87365,87825,0.523768859
2021-02-01,451,77045,77496,0.581965521
2021-02-08,328,56668,56996,0.575478981
2021-02-15,375,55462,55837,0.671597686
2021-02-22,361,47834,48195,0.749040357
2021-03-01,394,51375,51769,0.761073229
2021-03-08,428,48952,49380,0.866747671
2021-03-15,414,50246,50660,0.817212791
2021-03-22,450,51369,51819,0.868407341
2021-03-29,589,57359,57948,1.016428522
2021-04-05,537,51694,52231,1.02812506
2021-04-12,532,48518,49050,1.084607543
2021-04-19,514,38760,39274,1.308753883
2021-04-26,443,27642,28085,1.57735446
2021-05-03,382,21308,21690,1.761180267
2021-05-10,374,15732,16106,2.322115982
2021-05-17,312,11725,12037,2.592007975
2021-05-24,292,8297,8589,3.399697287
2021-05-31,209,5318,5527,3.781436584
2021-06-07,189,3864,4053,4.663212435
2021-06-14,184,2910,3094,5.946994182
2021-06-21,181,2309,2490,7.269076305
2021-06-28,195,2352,2547,7.65606596
2021-07-05,186,2827,3013,6.173249253
2021-07-12,193,4650,4843,3.985133182
2021-07-19,237,7307,7544,3.141569459
2021-07-26,338,12215,12553,2.692583446
2021-08-02,491,19094,19585,2.507020679
2021-08-09,649,25667,26316,2.466180271
2021-08-16,680,29309,29989,2.267498083
2021-08-23,676,31191,31867,2.121316723
2021-08-30,722,34131,34853,2.071557685
2021-09-06,711,33425,34136,2.08284509
2021-09-13,767,34551,35318,2.171697152
2021-09-20,755,35945,36700,2.057220708
2021-09-27,708,33953,34661,2.042641586
2021-10-04,595,31517,32112,1.852889885
2021-10-11,705,32457,33162,2.125927266
2021-10-18,580,29775,30355,1.91072311
2021-10-25,472,24984,25456,1.854179761
2021-11-01,464,25488,25952,1.787916153
2021-11-08,628,31419,32047,1.959621805
2021-11-15,657,39785,40442,1.624548736
2021-11-22,810,47150,47960,1.688907423
2021-11-29,804,45377,46181,1.740975726
2021-12-06,1340,68535,69875,1.917710197
2021-12-13,1997,72714,74711,2.672966498
2021-12-20,10116,161679,171795,5.888413516
2021-12-27,26043,305478,331521,7.855610957
2022-01-03,44406,521993,566399,7.840056215
2022-01-10,41320,493852,535172,7.720882258
2022-01-17,20342,259699,280041,7.263936352
2022-01-24,10840,137256,148096,7.319576491
2022-01-31,6061,74683,80744,7.506440107
2022-02-07,3342,43450,46792,7.142246538
2022-02-14,2293,27396,29689,7.723399239
2022-02-21,1572,18359,19931,7.887210878
2022-02-28,1050,12827,13877,7.566476904
2022-03-07,988,11428,12416,7.957474227
2022-03-14,947,11455,12402,7.635865183
2022-03-21,1222,14590,15812,7.728307614
2022-03-28,1891,20159,22050,8.575963719
2022-04-04,2509,25092,27601,9.090250353
2022-04-11,3748,35238,38986,9.613707485
2022-04-18,4742,41534,46276,10.24721238
2022-04-25,5174,45213,50387,10.26852164
2022-05-02,6642,54222,60864,10.91285489
2022-05-09,8240,63927,72167,11.41796112
2022-05-16,9553,67935,77488,12.32836052
2022-05-23,8886,60893,69779,12.73449032
2022-05-30,7485,48433,55918,13.38567188
2022-06-06,6285,40120,46405,13.54379916
2022-06-13,5473,34710,40183,13.62018764
2022-06-20,5495,33527,39022,14.08180001
2022-06-27,6368,36173,42541,14.96908864
2022-07-04,7390,40744,48134,15.35297295
2022-07-11,8805,46155,54960,16.02074236
2022-07-18,9773,48031,57804,16.90713445
2022-07-25,9660,46440,56100,17.21925134
2022-08-01,9422,43152,52574,17.92140602
2022-08-08,8794,39132,47926,18.34912156
2022-08-15,7821,34127,41948,18.64451225
2022-08-22,7039,31278,38317,18.3704361
2022-08-29,6700,28542,35242,19.01140684
2022-09-05,6366,26194,32560,19.55159705
2022-09-12,6080,25191,31271,19.44293435
2022-09-19,7422,29725,37147,19.98007915
2022-09-26,7985,31246,39231,20.35380184
2022-10-03,7315,29176,36491,20.04603875
2022-10-10,6725,27496,34221,19.65167587
2022-10-17,7074,27259,34333,20.60408353
2022-10-24,6913,25745,32658,21.16786086
2022-10-31,7693,27234,34927,22.02593982
2022-11-07,8789,28785,37574,23.39117475
2022-11-14,8089,25459,33548,24.11172052
2022-11-21,8820,26117,34937,25.2454418
2022-11-28,9358,26683,36041,25.96487334
2022-12-05,14401,38101,52502,27.42943126
2022-12-12,14432,37762,52194,27.65068782
2022-12-19,15490,38541,54031,28.66872721
2022-12-26,14121,34505,48626,29.04001974
2023-01-02,14252,33771,48023,29.67744622
2023-01-09,14771,34007,48778,30.28209439
2023-01-16,10849,25862,36711,29.55245022
2023-01-23,10276,23055,33331,30.83015811
2023-01-30,9291,20409,29700,31.28282828
2023-02-06,8325,18118,26443,31.48281209
2023-02-13,7091,16010,23101,30.69564088
2023-02-20,6135,13730,19865,30.88346338
2023-02-27,4979,10923,15902,31.31052698